---------- Begin Simulation Statistics ----------
simSeconds                                   0.000047                       # Number of seconds simulated (Second)
simTicks                                     47285000                       # Number of ticks simulated (Tick)
finalTick                                    47285000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.03                       # Real time elapsed on the host (Second)
hostTickRate                               1371056599                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2242396                       # Number of bytes of host memory used (Byte)
simInsts                                         7450                       # Number of instructions simulated (Count)
simOps                                           7458                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   215038                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     215226                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.cache_hierarchy.l1d-cache-0.demandHits::processor.cores.core.data         2560                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.demandHits::total         2560                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::processor.cores.core.data         2560                       # number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::total         2560                       # number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::processor.cores.core.data          192                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::total          192                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::processor.cores.core.data          192                       # number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::total          192                       # number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::processor.cores.core.data     13275000                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::total     13275000                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::processor.cores.core.data     13275000                       # number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::total     13275000                       # number of overall miss ticks (Tick)
