counter,value,description
----------,Begin Simulation Statistics ----------,
simSeconds,0.000042,Number of seconds simulated (Second)
simTicks,41888000,Number of ticks simulated (Tick)
finalTick,41888000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,0.03,Real time elapsed on the host (Second)
hostTickRate,1311705392,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,2242244,Number of bytes of host memory used (Byte)
simInsts,6733,Number of instructions simulated (Count)
simOps,6741,Number of ops (including micro ops) simulated (Count)
hostInstRate,209633,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,209837,Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.cache_hierarchy.l1d-cache-0.demandHits::processor.cores.core.data,2324,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.demandHits::total,2324,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::processor.cores.core.data,2324,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::total,2324,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::processor.cores.core.data,171,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::total,171,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::processor.cores.core.data,171,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::total,171,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::processor.cores.core.data,11851000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::total,11851000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::processor.cores.core.data,11851000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::total,11851000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandAccesses::processor.cores.core.data,2495,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandAccesses::total,2495,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::processor.cores.core.data,2495,number of overall (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::total,2495,number of overall (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissRate::processor.cores.core.data,0.068537,miss rate for demand accesses (Ratio)
board.cache_hierarchy.l1d-cache-0.demandMissRate::total,0.068537,miss rate for demand accesses (Ratio)
