counter,value,description
simSeconds,0.006784,Number of seconds simulated (Second)
simTicks,6783953000,Number of ticks simulated (Tick)
finalTick,6783953000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,5.42,Real time elapsed on the host (Second)
hostTickRate,1251177690,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,2242524,Number of bytes of host memory used (Byte)
simInsts,3374591,Number of instructions simulated (Count)
simOps,3374606,Number of ops (including micro ops) simulated (Count)
hostInstRate,622361,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,622363,Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.cache_hierarchy.l1d-cache-0.demandHits::processor.cores.core.data,1538947,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.demandHits::total,1538947,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::processor.cores.core.data,1538947,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::total,1538947,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::processor.cores.core.data,1673,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::total,1673,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::processor.cores.core.data,1673,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::total,1673,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::processor.cores.core.data,36308000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::total,36308000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::processor.cores.core.data,36308000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::total,36308000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandAccesses::processor.cores.core.data,1540620,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandAccesses::total,1540620,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::processor.cores.core.data,1540620,number of overall (read+write) accesses (Count)
