counter,value,description
simSeconds,0.045342,Number of seconds simulated (Second)
simTicks,45341969000,Number of ticks simulated (Tick)
finalTick,45341969000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,38.46,Real time elapsed on the host (Second)
hostTickRate,1178883116,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,2242536,Number of bytes of host memory used (Byte)
simInsts,26054699,Number of instructions simulated (Count)
simOps,26062560,Number of ops (including micro ops) simulated (Count)
hostInstRate,677415,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,677619,Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.cache_hierarchy.l1d-cache-0.demandHits::processor.cores.core.data,10063586,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.demandHits::total,10063586,number of demand (read+write) hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::processor.cores.core.data,10063586,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.overallHits::total,10063586,number of overall hits (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::processor.cores.core.data,43894,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMisses::total,43894,number of demand (read+write) misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::processor.cores.core.data,43894,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.overallMisses::total,43894,number of overall misses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::processor.cores.core.data,635592000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandMissLatency::total,635592000,number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::processor.cores.core.data,635592000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.overallMissLatency::total,635592000,number of overall miss ticks (Tick)
board.cache_hierarchy.l1d-cache-0.demandAccesses::processor.cores.core.data,10107480,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandAccesses::total,10107480,number of demand (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::processor.cores.core.data,10107480,number of overall (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.overallAccesses::total,10107480,number of overall (read+write) accesses (Count)
board.cache_hierarchy.l1d-cache-0.demandMissRate::processor.cores.core.data,0.004343,miss rate for demand accesses (Ratio)
board.cache_hierarchy.l1d-cache-0.demandMissRate::total,0.004343,miss rate for demand accesses (Ratio)
board.cache_hierarchy.l1d-cache-0.overallMissRate::processor.cores.core.data,0.004343,miss rate for overall accesses (Ratio)
board.cache_hierarchy.l1d-cache-0.overallMissRate::total,0.004343,miss rate for overall accesses (Ratio)
board.cache_hierarchy.l1d-cache-0.demandAvgMissLatency::processor.cores.core.data,14480.156741,average overall miss latency in ticks ((Tick/Count))
board.cache_hierarchy.l1d-cache-0.demandAvgMissLatency::total,14480.156741,average overall miss latency in ticks ((Tick/Count))
board.cache_hierarchy.l1d-cache-0.overallAvgMissLatency::processor.cores.core.data,14480.156741,average overall miss latency ((Tick/Count))
board.cache_hierarchy.l1d-cache-0.overallAvgMissLatency::total,14480.156741,average overall miss latency ((Tick/Count))
